#eta	F(eta)		F'(eta)
#___	_____		_______
0.0	0.0		0.0
0.1	0.00235		0.04696
0.2	0.00939		0.09391
0.3	0.02113		0.14081
0.4	0.03755		0.18761
0.5	0.05864		0.23423
0.6	0.08439		0.28058
0.7	0.11474		0.32653
0.8	0.14967		0.37196
0.9	0.18911		0.41672
1.0	0.23299		0.46063
1.1	0.28121		0.50354
1.2	0.33366		0.54525
1.3	0.39021		0.58559
1.4	0.45072		0.62439
1.5	0.51503		0.66147
1.6	0.58296		0.69670
1.7	0.65430		0.72993
1.8	0.72887		0.76106
1.9	0.80644		0.79000
2.0	0.88680		0.81669
2.2	1.05495		0.86330
2.4	1.23153		0.90107
2.6	1.41482		0.93060
2.8	1.60328		0.95288
3.0	1.79557		0.96905
3.2	1.99058		0.98037
3.4	2.18747		0.98797
3.6	2.38559		0.99289
3.8	2.58450		0.99594
4.0	2.78388		0.99777
