# Residuals    
# Time         	p              	Ux             	Uy             
0.0001         	1.00000000e+00	1.00000000e+00	0.00000000e+00
0.0002         	1.66730220e-03	1.02282140e-01	2.02854830e-01
0.0003         	1.41471640e-03	5.62047430e-02	1.10957140e-01
0.0004         	1.22516280e-03	3.79713530e-02	7.33977470e-02
0.0005         	1.33042830e-03	2.82075410e-02	5.35802060e-02
0.0006         	1.44348770e-03	2.23839800e-02	4.21532710e-02
0.0007         	1.55150290e-03	1.83973950e-02	3.43415810e-02
0.0008         	1.69983060e-03	1.56977870e-02	2.93131400e-02
0.0009         	1.68110670e-03	1.35598040e-02	2.51889580e-02
0.001          	1.74280150e-03	1.19658940e-02	2.22244960e-02
0.0011         	1.67206070e-03	1.06566530e-02	1.97443630e-02
0.0012         	1.87071690e-03	9.51174880e-03	1.74868900e-02
0.0013         	1.81285360e-03	8.64252200e-03	1.59019200e-02
0.0014         	1.81341010e-03	7.94156520e-03	1.46693420e-02
0.0015         	1.92210090e-03	7.31464070e-03	1.35179720e-02
0.0016         	2.00765420e-03	6.73990340e-03	1.24139410e-02
0.0017         	1.83984960e-03	6.23985480e-03	1.14598080e-02
0.0018         	1.86033520e-03	5.81544780e-03	1.06819850e-02
0.0019         	1.89335040e-03	5.45235990e-03	1.00413310e-02
0.002          	2.01218410e-03	5.08774360e-03	9.33639180e-03
0.0021         	2.26100100e-03	4.75320730e-03	8.68248590e-03
0.0022         	1.95719770e-03	4.52339680e-03	8.32701020e-03
0.0023         	2.00633800e-03	4.29185040e-03	7.92444380e-03
0.0024         	2.05707800e-03	4.08814390e-03	7.57859000e-03
0.0025         	2.14744960e-03	3.85610350e-03	7.11241950e-03
0.0026         	2.34710090e-03	3.62698830e-03	6.63380940e-03
0.0027         	2.33822860e-03	3.48774500e-03	6.42685860e-03
0.0028         	2.21787770e-03	3.33340660e-03	6.14897620e-03
0.0029         	2.26068390e-03	3.20551110e-03	5.93894130e-03
0.003          	2.31635850e-03	3.07731060e-03	5.71172640e-03
0.0031         	2.55414280e-03	2.91959450e-03	5.38230950e-03
0.0032         	2.47904490e-03	2.78241090e-03	5.11160330e-03
0.0033         	2.59617070e-03	2.69361560e-03	4.98213690e-03
0.0034         	2.48542320e-03	2.58754680e-03	4.78639350e-03
0.0035         	2.56495640e-03	2.51731140e-03	4.69486120e-03
0.0036         	2.55972490e-03	2.43595790e-03	4.55659330e-03
0.0037         	2.60314000e-03	2.34812580e-03	4.39393120e-03
0.0038         	2.89627050e-03	2.23537010e-03	4.14448410e-03
0.0039         	2.79255670e-03	2.16482080e-03	4.02310430e-03
0.004          	2.87279500e-03	2.09864590e-03	3.90574820e-03
0.0041         	2.69299010e-03	2.05251990e-03	3.84890240e-03
0.0042         	2.81065700e-03	1.97901180e-03	3.70177840e-03
0.0043         	2.73435690e-03	1.95584700e-03	3.70536170e-03
0.0044         	2.86055760e-03	1.87365370e-03	3.52478230e-03
0.0045         	3.05854020e-03	1.81824660e-03	3.42655450e-03
0.0046         	2.91609260e-03	1.74823420e-03	3.27696910e-03
0.0047         	2.99216730e-03	1.70578360e-03	3.21022870e-03
0.0048         	3.05003620e-03	1.66342150e-03	3.13472790e-03
0.0049         	2.82163600e-03	1.63992600e-03	3.11731400e-03
0.005          	2.92489910e-03	1.58466600e-03	2.99837760e-03
0.0051         	2.87217550e-03	1.57902640e-03	3.02734760e-03
0.0052         	2.98144510e-03	1.51790710e-03	2.88829580e-03
0.0053         	3.20637310e-03	1.48141910e-03	2.82704920e-03
0.0054         	2.98822810e-03	1.42738840e-03	2.70785750e-03
0.0055         	2.99182620e-03	1.40117840e-03	2.67299980e-03
0.0056         	3.09173600e-03	1.35995290e-03	2.58607400e-03
0.0057         	3.00946160e-03	1.35631290e-03	2.61067160e-03
0.0058         	3.03301470e-03	1.31038680e-03	2.50761370e-03
0.0059         	2.92751460e-03	1.30586160e-03	2.52941860e-03
0.006          	2.94513660e-03	1.27262160e-03	2.45834990e-03
0.0061         	2.98087990e-03	1.26443490e-03	2.46624230e-03
0.0062         	3.31016080e-03	1.20091750e-03	2.30955780e-03
0.0063         	2.97663160e-03	1.19724090e-03	2.32920560e-03
0.0064         	3.17064830e-03	1.15121090e-03	2.22087200e-03
0.0065         	3.18248940e-03	1.13223130e-03	2.19596840e-03
0.0066         	3.21377960e-03	1.11386600e-03	2.16239620e-03
0.0067         	2.94303400e-03	1.11062560e-03	2.17859150e-03
0.0068         	3.03720530e-03	1.07511560e-03	2.09634040e-03
0.0069         	2.94975350e-03	1.07685780e-03	2.12333400e-03
0.007          	3.04706310e-03	1.04818350e-03	2.05719640e-03
