# Residuals    
# Time         	p              	Ux             	Uy             
0.0001         	1.00000000e+00	1.00000000e+00	0.00000000e+00
0.0002         	7.87210650e-04	1.04053320e-01	2.96041580e-01
0.0003         	4.30660560e-04	5.98725700e-02	1.78269000e-01
0.0004         	3.04635780e-04	4.17014870e-02	1.23564010e-01
0.0005         	1.94874750e-04	3.01465930e-02	8.72249350e-02
0.0006         	2.29499470e-04	2.36594540e-02	6.80546360e-02
0.0007         	2.64235370e-04	1.94692310e-02	5.59962560e-02
0.0008         	2.89439700e-04	1.64044590e-02	4.70895400e-02
0.0009         	2.22119400e-04	1.40911620e-02	4.03646680e-02
0.001          	2.31911960e-04	1.22797640e-02	3.50889060e-02
0.0011         	2.44563570e-04	1.08130520e-02	3.07893250e-02
0.0012         	2.53485000e-04	9.60554460e-03	2.72415720e-02
0.0013         	2.66201290e-04	8.61052940e-03	2.43413190e-02
0.0014         	2.88117380e-04	7.77221990e-03	2.19227120e-02
0.0015         	3.13174550e-04	7.05851300e-03	1.98652660e-02
0.0016         	3.29259150e-04	6.44536200e-03	1.81003300e-02
0.0017         	3.51005840e-04	5.91483090e-03	1.65777630e-02
0.0018         	3.61001740e-04	5.45369490e-03	1.52643590e-02
0.0019         	3.76832810e-04	5.05126240e-03	1.41336540e-02
0.002          	3.90784730e-04	4.69883060e-03	1.31540640e-02
0.0021         	4.12474890e-04	4.38867310e-03	1.22999520e-02
0.0022         	4.23705240e-04	4.10797500e-03	1.15291800e-02
0.0023         	4.44751920e-04	3.86349020e-03	1.08817210e-02
0.0024         	4.54052360e-04	3.64743510e-03	1.03202920e-02
0.0025         	4.65865170e-04	3.45505430e-03	9.82768660e-03
0.0026         	4.65613660e-04	3.28474540e-03	9.39997830e-03
0.0027         	5.00177170e-04	3.13308580e-03	9.02985030e-03
0.0028         	4.78665430e-04	2.99806800e-03	8.71092710e-03
0.0029         	4.84951760e-04	2.87782050e-03	8.43886360e-03
0.003          	5.00479460e-04	2.77085840e-03	8.20879060e-03
0.0031         	5.22234050e-04	2.67592860e-03	8.01728240e-03
0.0032         	5.43462510e-04	2.59176520e-03	7.86020050e-03
0.0033         	5.63903290e-04	2.51797670e-03	7.73558300e-03
0.0034         	5.76997680e-04	2.44933980e-03	7.61533390e-03
0.0035         	5.87643120e-04	2.38701940e-03	7.50816330e-03
0.0036         	5.94455430e-04	2.33252870e-03	7.42440380e-03
0.0037         	5.87228390e-04	2.28242290e-03	7.34663320e-03
0.0038         	5.80739850e-04	2.23513300e-03	7.26734910e-03
0.0039         	5.85923440e-04	2.18942020e-03	7.18412170e-03
0.004          	6.16288390e-04	2.08638700e-03	6.77230090e-03
0.0041         	7.47896730e-04	2.01245560e-03	6.52256460e-03
0.0042         	8.34088130e-04	1.96248290e-03	6.39892020e-03
0.0043         	8.97220010e-04	1.92449230e-03	6.33235840e-03
0.0044         	6.63840830e-04	1.89740010e-03	6.31344180e-03
0.0045         	6.02809260e-04	1.87101430e-03	6.29050130e-03
0.0046         	7.59059830e-04	1.83529500e-03	6.20709450e-03
0.0047         	6.85177220e-04	1.79929210e-03	6.11540970e-03
0.0048         	6.80542630e-04	1.74503460e-03	5.91707620e-03
0.0049         	7.38653950e-04	1.68679320e-03	5.69234350e-03
0.005          	8.13386710e-04	1.63913950e-03	5.52211820e-03
0.0051         	6.12892720e-04	1.59872710e-03	5.38902850e-03
0.0052         	7.17540770e-04	1.57723790e-03	5.35759490e-03
0.0053         	6.97646770e-04	1.59910780e-03	5.56001530e-03
0.0054         	7.86357390e-04	1.61172100e-03	5.70058910e-03
0.0055         	6.61845440e-04	1.48462910e-03	5.06996630e-03
0.0056         	8.87895520e-04	1.45781760e-03	4.99167430e-03
0.0057         	6.62558810e-04	1.43401420e-03	4.92457140e-03
0.0058         	6.23447740e-04	1.37982430e-03	4.69179890e-03
0.0059         	6.38308980e-04	1.34312690e-03	4.55155960e-03
0.006          	7.32344540e-04	1.31467130e-03	4.45277900e-03
0.0061         	7.90296090e-04	1.28951150e-03	4.36882290e-03
0.0062         	1.21517770e-03	1.26699770e-03	4.29717520e-03
0.0063         	1.06964240e-03	1.24618260e-03	4.23442930e-03
0.0064         	7.96101660e-04	1.17956190e-03	3.93224910e-03
0.0065         	8.48079370e-04	1.16966070e-03	3.92597270e-03
0.0066         	1.12499780e-03	1.14874810e-03	3.86013270e-03
0.0067         	1.04687660e-03	1.17060530e-03	4.01119520e-03
0.0068         	9.54238180e-04	1.12807630e-03	3.83237990e-03
0.0069         	8.54782700e-04	1.04099820e-03	3.43662080e-03
0.007          	8.31777980e-04	1.00370790e-03	3.29130800e-03
0.0071         	8.50380660e-04	9.81156580e-04	3.21799300e-03
0.0072         	8.84261220e-04	9.60755160e-04	3.15409930e-03
0.0073         	8.85960760e-04	9.41688470e-04	3.09612030e-03
0.0074         	1.00889480e-03	9.23594260e-04	3.04151820e-03
0.0075         	1.10055930e-03	9.06216390e-04	2.98916120e-03
0.0076         	8.85016710e-04	8.89766420e-04	2.94109160e-03
0.0077         	9.29113880e-04	8.73997040e-04	2.89438790e-03
