# Residuals  
# Time       	p            	Ux           	Uy           
0.0001       	1.000000e+00	1.000000e+00	0.000000e+00
0.0002       	3.059770e-03	1.033350e-01	2.017240e-01
0.0003       	1.885890e-03	5.679730e-02	1.101610e-01
0.0004       	1.970980e-03	3.811600e-02	7.225270e-02
0.0005       	1.976940e-03	2.793490e-02	5.184700e-02
0.0006       	2.097470e-03	2.190240e-02	4.026500e-02
0.0007       	2.272120e-03	1.793520e-02	3.286310e-02
0.0008       	2.434730e-03	1.515520e-02	2.778180e-02
0.0009       	2.529620e-03	1.314240e-02	2.420170e-02
0.001        	2.778980e-03	1.162430e-02	2.154010e-02
0.0011       	4.066400e-03	1.019890e-02	1.869030e-02
0.0012       	4.021910e-03	9.289190e-03	1.725160e-02
0.0013       	2.941140e-03	8.552680e-03	1.609390e-02
0.0014       	2.876710e-03	7.876390e-03	1.490640e-02
0.0015       	3.064320e-03	7.368430e-03	1.411440e-02
0.0016       	3.421290e-03	6.872570e-03	1.321870e-02
0.0017       	5.237290e-03	6.245710e-03	1.177840e-02
0.0018       	4.963380e-03	5.790600e-03	1.085920e-02
0.0019       	4.611520e-03	5.341440e-03	9.897390e-03
0.002        	4.587700e-03	5.034640e-03	9.373530e-03
0.0021       	4.763190e-03	5.008830e-03	9.737310e-03
0.0022       	3.809930e-03	4.538150e-03	8.520420e-03
0.0023       	3.930640e-03	4.267890e-03	7.973860e-03
0.0024       	4.180120e-03	4.097000e-03	7.736000e-03
0.0025       	4.257640e-03	3.987680e-03	7.668340e-03
0.0026       	5.784330e-03	3.673170e-03	6.875820e-03
0.0027       	4.636120e-03	3.503240e-03	6.563180e-03
0.0028       	4.886940e-03	3.315810e-03	6.171150e-03
0.0029       	5.666190e-03	3.131600e-03	5.787960e-03
0.003        	6.219960e-03	2.903730e-03	5.275470e-03
0.0031       	6.924120e-03	2.913210e-03	5.482470e-03
0.0032       	5.300400e-03	2.865450e-03	5.492900e-03
0.0033       	4.995090e-03	2.845290e-03	5.574980e-03
0.0034       	5.044420e-03	2.639090e-03	5.047580e-03
0.0035       	5.565050e-03	2.550940e-03	4.898920e-03
0.0036       	5.232390e-03	2.543200e-03	4.989420e-03
0.0037       	5.806440e-03	2.429780e-03	4.745650e-03
0.0038       	7.317750e-03	2.267590e-03	4.351840e-03
0.0039       	6.316460e-03	2.184430e-03	4.187630e-03
0.004        	7.870290e-03	1.997240e-03	3.700580e-03
0.0041       	7.239170e-03	1.917500e-03	3.546190e-03
0.0042       	7.789880e-03	1.834170e-03	3.382980e-03
0.0043       	8.321160e-03	1.704540e-03	3.074270e-03
0.0044       	8.759040e-03	1.732440e-03	3.242760e-03
0.0045       	8.053050e-03	1.823820e-03	3.598070e-03
0.0046       	6.429060e-03	1.742280e-03	3.405720e-03
0.0047       	6.308630e-03	1.726270e-03	3.412280e-03
0.0048       	6.198820e-03	1.711990e-03	3.423730e-03
0.0049       	6.312530e-03	1.700160e-03	3.447720e-03
0.005        	6.898040e-03	1.701200e-03	3.504040e-03
0.0051       	6.685850e-03	1.773880e-03	3.766830e-03
0.0052       	7.866740e-03	1.666230e-03	3.481050e-03
0.0053       	1.095210e-02	1.527820e-03	3.103240e-03
0.0054       	7.460120e-03	1.526820e-03	3.132900e-03
0.0055       	7.084420e-03	1.483580e-03	3.037910e-03
0.0056       	6.939530e-03	1.450200e-03	2.972210e-03
0.0057       	7.467120e-03	1.338680e-03	2.691090e-03
0.0058       	8.085230e-03	1.265830e-03	2.526940e-03
0.0059       	9.894210e-03	1.207040e-03	2.401430e-03
0.006        	1.295990e-02	1.076300e-03	2.082860e-03
0.0061       	1.022310e-02	1.214470e-03	2.479680e-03
0.0062       	1.060940e-02	1.124980e-03	2.248470e-03
0.0063       	8.955540e-03	1.079740e-03	2.149350e-03
0.0064       	9.020560e-03	1.063570e-03	2.126490e-03
0.0065       	8.754600e-03	1.081290e-03	2.197900e-03
0.0066       	8.546610e-03	1.055010e-03	2.150510e-03
0.0067       	8.397690e-03	1.057660e-03	2.187590e-03
0.0068       	8.656170e-03	1.073360e-03	2.258340e-03
0.0069       	9.306670e-03	1.114340e-03	2.392150e-03
0.007        	8.502120e-03	1.245730e-03	2.784720e-03
0.0071       	1.118090e-02	1.062810e-03	2.289220e-03
0.0072       	1.102700e-02	1.061890e-03	2.308350e-03
0.0073       	9.054590e-03	1.074450e-03	2.357000e-03
0.0074       	8.056810e-03	1.093870e-03	2.426390e-03
0.0075       	7.195700e-03	1.042000e-03	2.293840e-03
0.0076       	7.085700e-03	1.016930e-03	2.236600e-03
0.0077       	7.466750e-03	1.001230e-03	2.212050e-03
0.0078       	7.755800e-03	9.844850e-04	2.190480e-03
0.0079       	8.108820e-03	9.636400e-04	2.156050e-03
0.008        	9.061430e-03	9.374720e-04	2.106760e-03
0.0081       	1.177510e-02	8.782740e-04	1.979310e-03
0.0082       	1.286030e-02	9.032120e-04	2.059700e-03
0.0083       	9.737150e-03	8.571770e-04	1.920320e-03
0.0084       	1.060540e-02	8.090410e-04	1.804970e-03
