# Residuals  
# Time       	p            	Ux           	Uy           
0.001        	1.000000e+00	1.000000e+00	0.000000e+00
0.002        	4.286990e-03	3.825460e-02	1.491760e-01
0.003        	4.196920e-03	1.849070e-02	6.963910e-02
0.004        	5.205230e-03	1.132150e-02	4.141070e-02
0.005        	5.433660e-03	7.874750e-03	2.845490e-02
0.006        	5.825710e-03	5.961360e-03	2.153310e-02
0.007        	6.310520e-03	4.769100e-03	1.728390e-02
0.008        	5.717480e-03	4.008020e-03	1.468720e-02
0.009        	5.986580e-03	3.410620e-03	1.249890e-02
0.01         	6.217570e-03	2.993300e-03	1.104330e-02
0.011        	6.383840e-03	2.594340e-03	9.454220e-03
0.012        	7.096700e-03	2.295270e-03	8.331420e-03
0.013        	6.832000e-03	2.047550e-03	7.460330e-03
0.014        	6.729740e-03	1.882760e-03	6.968600e-03
0.015        	6.691890e-03	1.757410e-03	6.615700e-03
0.016        	7.033020e-03	1.663600e-03	6.376770e-03
0.017        	7.060310e-03	1.536440e-03	5.909720e-03
0.018        	6.740850e-03	1.421010e-03	5.481890e-03
0.019        	6.802710e-03	1.323400e-03	5.128700e-03
0.02         	6.940690e-03	1.241870e-03	4.833660e-03
0.021        	6.951060e-03	1.189100e-03	4.678830e-03
0.022        	6.841090e-03	1.159170e-03	4.635660e-03
0.023        	7.257060e-03	1.081300e-03	4.321030e-03
0.024        	7.171550e-03	1.043420e-03	4.231110e-03
0.025        	6.801940e-03	9.761020e-04	3.969210e-03
0.026        	7.251630e-03	9.123930e-04	3.717360e-03
0.027        	6.805240e-03	8.985760e-04	3.724910e-03
0.028        	6.840730e-03	8.688040e-04	3.638970e-03
0.029        	7.164100e-03	8.373410e-04	3.532850e-03
0.03         	7.047890e-03	8.265760e-04	3.526420e-03
0.031        	7.779960e-03	8.003470e-04	3.441370e-03
0.032        	7.391560e-03	7.694070e-04	3.338010e-03
0.033        	7.180710e-03	7.231490e-04	3.150590e-03
0.034        	7.074050e-03	7.003910e-04	3.078760e-03
0.035        	7.169550e-03	6.775450e-04	3.001340e-03
0.036        	7.142730e-03	6.614500e-04	2.961560e-03
0.037        	7.243230e-03	6.440580e-04	2.920570e-03
0.038        	7.288640e-03	6.257910e-04	2.863610e-03
0.039        	6.987080e-03	6.146070e-04	2.833870e-03
