# Residuals  
# Time       	p            	Ux           	Uy           
0.0001       	1.000000e+00	1.000000e+00	0.000000e+00
0.0002       	3.876780e-03	3.832790e-02	1.482280e-01
0.0003       	2.385980e-03	2.048140e-02	7.611800e-02
0.0004       	2.492190e-03	1.358460e-02	4.881510e-02
0.0005       	2.480260e-03	9.888370e-03	3.468380e-02
0.0006       	2.624440e-03	7.717320e-03	2.682660e-02
0.0007       	2.830960e-03	6.298490e-03	2.185480e-02
0.0008       	3.071550e-03	5.311660e-03	1.846760e-02
0.0009       	3.089190e-03	4.600920e-03	1.609630e-02
0.001        	3.454760e-03	4.067170e-03	1.434030e-02
0.0011       	5.058070e-03	3.558840e-03	1.243350e-02
0.0012       	5.036960e-03	3.243630e-03	1.150510e-02
0.0013       	3.626870e-03	2.992240e-03	1.077850e-02
0.0014       	3.618000e-03	2.757180e-03	1.000290e-02
0.0015       	3.794520e-03	2.583770e-03	9.497120e-03
0.0016       	4.289150e-03	2.408880e-03	8.890620e-03
0.0017       	6.333680e-03	2.184400e-03	7.916560e-03
0.0018       	6.137370e-03	2.025480e-03	7.314740e-03
0.0019       	5.889200e-03	1.864870e-03	6.663890e-03
0.002        	5.672280e-03	1.748630e-03	6.264380e-03
0.0021       	5.755470e-03	1.744570e-03	6.527910e-03
0.0022       	4.706920e-03	1.610810e-03	5.936630e-03
0.0023       	4.815000e-03	1.501580e-03	5.482080e-03
0.0024       	5.081960e-03	1.440870e-03	5.314260e-03
0.0025       	5.198390e-03	1.402710e-03	5.265350e-03
0.0026       	6.964360e-03	1.289340e-03	4.719920e-03
0.0027       	5.513210e-03	1.231370e-03	4.520060e-03
0.0028       	5.814110e-03	1.165240e-03	4.255420e-03
0.0029       	6.705930e-03	1.098930e-03	3.994920e-03
0.003        	7.203980e-03	1.016660e-03	3.648060e-03
0.0031       	8.127350e-03	1.025260e-03	3.813410e-03
0.0032       	6.309400e-03	1.005430e-03	3.800260e-03
0.0033       	6.012090e-03	1.005740e-03	3.893120e-03
0.0034       	6.027560e-03	9.320060e-04	3.541080e-03
0.0035       	6.771910e-03	9.009310e-04	3.441610e-03
0.0036       	6.227050e-03	9.032000e-04	3.528860e-03
