# Residuals  
# Time       	p            	Ux           	Uy           
1e-05        	1.000000e+00	1.000000e+00	0.000000e+00
2e-05        	3.507030e-03	3.884760e-02	1.476390e-01
3e-05        	2.117330e-03	2.144340e-02	7.781240e-02
4e-05        	1.717770e-03	1.461830e-02	5.098020e-02
5e-05        	1.764320e-03	1.072980e-02	3.619540e-02
6e-05        	1.455970e-03	8.260580e-03	2.714560e-02
7e-05        	1.810140e-03	6.880080e-03	2.271150e-02
8e-05        	1.671580e-03	5.797040e-03	1.902350e-02
9e-05        	1.501530e-03	5.029940e-03	1.653850e-02
0.0001       	1.690710e-03	4.434880e-03	1.462330e-02
0.00011      	1.629620e-03	3.965520e-03	1.313340e-02
0.00012      	1.514840e-03	3.589040e-03	1.195400e-02
0.00013      	1.512990e-03	3.285360e-03	1.101820e-02
0.00014      	1.578140e-03	3.037530e-03	1.027100e-02
0.00015      	2.004530e-03	2.835190e-03	9.682990e-03
0.00016      	2.050570e-03	2.611120e-03	8.873170e-03
0.00017      	2.555360e-03	2.433720e-03	8.280170e-03
0.00018      	2.128200e-03	2.257550e-03	7.638950e-03
0.00019      	3.910290e-03	2.111350e-03	7.136340e-03
0.0002       	3.298740e-03	2.035740e-03	7.032820e-03
0.00021      	2.868710e-03	1.930390e-03	6.697370e-03
0.00022      	2.895100e-03	1.821380e-03	6.307210e-03
0.00023      	2.023160e-03	1.799430e-03	6.436690e-03
0.00024      	1.949770e-03	1.739840e-03	6.286710e-03
0.00025      	1.924880e-03	1.687020e-03	6.154070e-03
0.00026      	1.853410e-03	1.638200e-03	6.025330e-03
0.00027      	1.773180e-03	1.592490e-03	5.897960e-03
0.00028      	1.853990e-03	1.551050e-03	5.780250e-03
0.00029      	2.057720e-03	1.517860e-03	5.701270e-03
0.0003       	2.481680e-03	1.495850e-03	5.675540e-03
0.00031      	3.040360e-03	1.415540e-03	5.276900e-03
0.00032      	4.077460e-03	1.335020e-03	4.880010e-03
0.00033      	2.959030e-03	1.292400e-03	4.718730e-03
0.00034      	3.278760e-03	1.243390e-03	4.511100e-03
0.00035      	3.560280e-03	1.200460e-03	4.338140e-03
0.00036      	3.813440e-03	1.160730e-03	4.182730e-03
0.00037      	4.026880e-03	1.130400e-03	4.082750e-03
0.00038      	2.940630e-03	1.114460e-03	4.064020e-03
0.00039      	5.130520e-03	1.092570e-03	4.005120e-03
0.0004       	3.646890e-03	1.032040e-03	3.706680e-03
0.00041      	2.768030e-03	9.466230e-04	3.254050e-03
0.00042      	2.367460e-03	9.374790e-04	3.277310e-03
0.00043      	2.297500e-03	9.168800e-04	3.224230e-03
0.00044      	2.358670e-03	8.976040e-04	3.174440e-03
0.00045      	2.452560e-03	8.818040e-04	3.142100e-03
0.00046      	3.213790e-03	8.707470e-04	3.137520e-03
0.00047      	4.243480e-03	8.680650e-04	3.181250e-03
0.00048      	3.015840e-03	8.893440e-04	3.370690e-03
0.00049      	2.869220e-03	8.568520e-04	3.211510e-03
0.0005       	5.079860e-03	8.111840e-04	2.968770e-03
0.00051      	3.268150e-03	7.806500e-04	2.825030e-03
0.00052      	3.139470e-03	7.373940e-04	2.599860e-03
0.00053      	4.226440e-03	7.232840e-04	2.558390e-03
0.00054      	4.472160e-03	7.206830e-04	2.588230e-03
0.00055      	4.586930e-03	7.063770e-04	2.541460e-03
0.00056      	3.818510e-03	6.954210e-04	2.516250e-03
0.00057      	4.258680e-03	6.736790e-04	2.420960e-03
0.00058      	5.467410e-03	6.489900e-04	2.304820e-03
0.00059      	4.324250e-03	6.361130e-04	2.261620e-03
0.0006       	6.816080e-03	6.376490e-04	2.313920e-03
0.00061      	4.622680e-03	6.340900e-04	2.330640e-03
0.00062      	3.402110e-03	6.465360e-04	2.446720e-03
0.00063      	2.702880e-03	6.772290e-04	2.674380e-03
0.00064      	3.071860e-03	6.613250e-04	2.595830e-03
0.00065      	2.527570e-03	6.220270e-04	2.366410e-03
0.00066      	2.617060e-03	6.182840e-04	2.368530e-03
0.00067      	2.710680e-03	6.137480e-04	2.366000e-03
0.00068      	2.876460e-03	6.093440e-04	2.365010e-03
0.00069      	4.362990e-03	6.071530e-04	2.378150e-03
0.0007       	5.970240e-03	6.148010e-04	2.452210e-03
0.00071      	4.521250e-03	6.271950e-04	2.554090e-03
0.00072      	4.332630e-03	5.986770e-04	2.391010e-03
0.00073      	6.054970e-03	5.514720e-04	2.108180e-03
0.00074      	4.581910e-03	5.281770e-04	1.985390e-03
0.00075      	3.594850e-03	5.124300e-04	1.913590e-03
0.00076      	3.667590e-03	5.026790e-04	1.875480e-03
0.00077      	4.116800e-03	4.721750e-04	1.716600e-03
0.00078      	3.601620e-03	4.611240e-04	1.671230e-03
0.00079      	3.667070e-03	4.511020e-04	1.631530e-03
