# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
1              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	6.95082347e+01	(5.37153158e-03 2.80584838e-04 5.00000000e-02)
2              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.09592628e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
3              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.17583452e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
4              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.19040134e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
5              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.18460984e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
6              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.17858967e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
7              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.17546922e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
8              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.17353850e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
9              	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.17164577e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
10             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16971312e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
11             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16792305e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
12             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16639855e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
13             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16511536e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
14             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16404280e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
15             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16314379e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
16             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16238698e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
17             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16174048e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
18             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16124828e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
19             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16081867e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
20             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16050117e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
21             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16024110e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
22             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.16005355e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
23             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15990812e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
24             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15979471e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
25             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15969287e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
26             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15960161e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
27             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15950766e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
28             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15941188e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
29             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15930662e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
30             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15919414e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
31             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15907098e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
32             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15894080e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
33             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15880250e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
34             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15865941e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
35             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15851104e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
36             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15836065e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
37             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15820819e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
38             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15805669e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
39             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15790541e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
40             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15775636e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
41             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15760895e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
42             	U              	0.00000000e+00	(4.85708350e-04 0.00000000e+00 5.00000000e-02)	7.15746591e+01	(-5.98615221e-04 2.46540178e-05 5.00000000e-02)
