# Wall shear stress
# Time         	patch          	min            	max            
1.00000000e+02	topWall	(-3.52609103e-09 -1.29100579e-06 0.00000000e+00)	(1.32935164e-08 -1.73825957e-08 0.00000000e+00)
1.00000000e+02	bottomWall	(-3.82990215e+01 -6.52243929e-01 0.00000000e+00)	(-6.17429010e+00 8.17176991e-02 0.00000000e+00)
2.00000000e+02	topWall	(-4.95770202e-09 -1.91954632e-06 0.00000000e+00)	(1.68234203e-08 -2.20568937e-08 0.00000000e+00)
2.00000000e+02	bottomWall	(-3.82922176e+01 -6.52230087e-01 0.00000000e+00)	(-5.97956070e+00 7.76729520e-02 0.00000000e+00)
3.00000000e+02	topWall	(-5.51854403e-09 -2.40985974e-06 0.00000000e+00)	(1.86697474e-08 -2.46489813e-08 0.00000000e+00)
3.00000000e+02	bottomWall	(-3.82910719e+01 -6.52219353e-01 0.00000000e+00)	(-5.82111929e+00 7.77395650e-02 0.00000000e+00)
4.00000000e+02	topWall	(-5.52692655e-09 -2.76908528e-06 0.00000000e+00)	(1.95252812e-08 -2.58014410e-08 0.00000000e+00)
4.00000000e+02	bottomWall	(-3.82908200e+01 -6.52216631e-01 0.00000000e+00)	(-5.69411442e+00 7.77417882e-02 0.00000000e+00)
5.00000000e+02	topWall	(-5.25552005e-09 -3.02364269e-06 0.00000000e+00)	(1.98888344e-08 -2.62940995e-08 0.00000000e+00)
5.00000000e+02	bottomWall	(-3.82908220e+01 -6.52216639e-01 0.00000000e+00)	(-5.59890914e+00 7.77407158e-02 0.00000000e+00)
6.00000000e+02	topWall	(-4.76705505e-09 -3.19947040e-06 0.00000000e+00)	(1.99935716e-08 -2.64326851e-08 0.00000000e+00)
6.00000000e+02	bottomWall	(-3.82908910e+01 -6.52217190e-01 0.00000000e+00)	(-5.53674690e+00 7.77402153e-02 0.00000000e+00)
7.00000000e+02	topWall	(-4.12649406e-09 -3.31658029e-06 0.00000000e+00)	(1.99821048e-08 -2.64197252e-08 0.00000000e+00)
7.00000000e+02	bottomWall	(-3.82909703e+01 -6.52218097e-01 0.00000000e+00)	(-5.50213334e+00 7.77420730e-02 0.00000000e+00)
8.00000000e+02	topWall	(-3.40359198e-09 -3.39001465e-06 0.00000000e+00)	(1.99248959e-08 -2.63465121e-08 0.00000000e+00)
8.00000000e+02	bottomWall	(-3.82910401e+01 -6.52218691e-01 0.00000000e+00)	(-5.48834705e+00 7.77410079e-02 0.00000000e+00)
9.00000000e+02	topWall	(-2.66357979e-09 -3.43115179e-06 0.00000000e+00)	(1.98585317e-08 -2.62587150e-08 0.00000000e+00)
9.00000000e+02	bottomWall	(-3.82910957e+01 -6.52219186e-01 0.00000000e+00)	(-5.48991914e+00 7.77405542e-02 0.00000000e+00)
1.00000000e+03	topWall	(-1.94898027e-09 -3.44907858e-06 0.00000000e+00)	(1.97960450e-08 -2.61759297e-08 0.00000000e+00)
1.00000000e+03	bottomWall	(-3.82911394e+01 -6.52219719e-01 0.00000000e+00)	(-5.50191177e+00 7.77421971e-02 0.00000000e+00)
1.10000000e+03	topWall	(-1.29301410e-09 -3.45063198e-06 0.00000000e+00)	(1.97458145e-08 -2.61083752e-08 0.00000000e+00)
1.10000000e+03	bottomWall	(-3.82911722e+01 -6.52219932e-01 0.00000000e+00)	(-5.52156156e+00 7.77412450e-02 0.00000000e+00)
1.20000000e+03	topWall	(-7.27022962e-10 -3.52717158e-06 0.00000000e+00)	(1.97037526e-08 -2.60528667e-08 0.00000000e+00)
1.20000000e+03	bottomWall	(-3.82911955e+01 -6.52220143e-01 0.00000000e+00)	(-5.54804943e+00 7.77406242e-02 0.00000000e+00)
1.30000000e+03	topWall	(-2.79344473e-10 -3.58552443e-06 0.00000000e+00)	(1.96745918e-08 -2.60147898e-08 0.00000000e+00)
1.30000000e+03	bottomWall	(-3.82912142e+01 -6.52220462e-01 0.00000000e+00)	(-5.57987664e+00 7.77423627e-02 0.00000000e+00)
1.40000000e+03	topWall	(5.25620383e-12 -3.60515662e-06 0.00000000e+00)	(1.96507295e-08 -2.59829075e-08 0.00000000e+00)
1.40000000e+03	bottomWall	(-3.82912263e+01 -6.52220422e-01 0.00000000e+00)	(-5.61514416e+00 7.77412299e-02 0.00000000e+00)
1.50000000e+03	topWall	(3.02309433e-11 -3.59099700e-06 0.00000000e+00)	(1.96301766e-08 -2.59544817e-08 0.00000000e+00)
1.50000000e+03	bottomWall	(-3.82912355e+01 -6.52220523e-01 0.00000000e+00)	(-5.65164097e+00 7.77406917e-02 0.00000000e+00)
1.60000000e+03	topWall	(1.38373967e-11 -3.54817455e-06 0.00000000e+00)	(1.96178962e-08 -2.59383876e-08 0.00000000e+00)
1.60000000e+03	bottomWall	(-3.82912428e+01 -6.52220672e-01 0.00000000e+00)	(-5.68806704e+00 7.77423946e-02 0.00000000e+00)
1.70000000e+03	topWall	(-2.10547580e-10 -3.48514619e-06 0.00000000e+00)	(1.96078692e-08 -2.59250505e-08 0.00000000e+00)
1.70000000e+03	bottomWall	(-3.82912480e+01 -6.52220629e-01 0.00000000e+00)	(-5.72274414e+00 7.77412579e-02 0.00000000e+00)
1.80000000e+03	topWall	(-4.43287437e-10 -3.40980192e-06 0.00000000e+00)	(1.96002237e-08 -2.59149468e-08 0.00000000e+00)
1.80000000e+03	bottomWall	(-3.82912521e+01 -6.52220825e-01 0.00000000e+00)	(-5.75515474e+00 7.77407309e-02 0.00000000e+00)
1.90000000e+03	topWall	(-6.68284484e-10 -3.33303785e-06 0.00000000e+00)	(1.95944305e-08 -2.59072400e-08 0.00000000e+00)
1.90000000e+03	bottomWall	(-3.82912548e+01 -6.52220778e-01 0.00000000e+00)	(-5.78529761e+00 7.77423655e-02 0.00000000e+00)
2.00000000e+03	topWall	(-8.40424802e-10 -3.27496228e-06 0.00000000e+00)	(1.95907710e-08 -2.59021330e-08 0.00000000e+00)
2.00000000e+03	bottomWall	(-3.82912571e+01 -6.52220747e-01 0.00000000e+00)	(-5.80777672e+00 7.77413264e-02 0.00000000e+00)
2.10000000e+03	topWall	(-9.36032304e-10 -3.25206298e-06 0.00000000e+00)	(1.95888714e-08 -2.58997872e-08 0.00000000e+00)
2.10000000e+03	bottomWall	(-3.82912579e+01 -6.52220874e-01 0.00000000e+00)	(-5.81780425e+00 7.77406605e-02 0.00000000e+00)
2.20000000e+03	topWall	(-9.67258678e-10 -3.25089527e-06 0.00000000e+00)	(1.95882475e-08 -2.58988414e-08 0.00000000e+00)
2.20000000e+03	bottomWall	(-3.82912581e+01 -6.52220771e-01 0.00000000e+00)	(-5.81743057e+00 7.77423953e-02 0.00000000e+00)
2.30000000e+03	topWall	(-9.66850187e-10 -3.25084217e-06 0.00000000e+00)	(1.95882122e-08 -2.58987826e-08 0.00000000e+00)
2.30000000e+03	bottomWall	(-3.82912568e+01 -6.52220772e-01 0.00000000e+00)	(-5.81300789e+00 7.77406120e-02 0.00000000e+00)
2.40000000e+03	topWall	(-9.59076181e-10 -3.25106205e-06 0.00000000e+00)	(1.95882810e-08 -2.58988760e-08 0.00000000e+00)
2.40000000e+03	bottomWall	(-3.82912567e+01 -6.52220809e-01 0.00000000e+00)	(-5.80898389e+00 7.77439006e-02 0.00000000e+00)
2.50000000e+03	topWall	(-9.52941306e-10 -3.25124230e-06 0.00000000e+00)	(1.95883509e-08 -2.58989707e-08 0.00000000e+00)
2.50000000e+03	bottomWall	(-3.82912569e+01 -6.52220928e-01 0.00000000e+00)	(-5.80643825e+00 7.77442649e-02 0.00000000e+00)
2.60000000e+03	topWall	(-9.49537211e-10 -3.25134003e-06 0.00000000e+00)	(1.95883869e-08 -2.58990198e-08 0.00000000e+00)
2.60000000e+03	bottomWall	(-3.82912568e+01 -6.52220921e-01 0.00000000e+00)	(-5.80508939e+00 7.77443123e-02 0.00000000e+00)
2.70000000e+03	topWall	(-9.47918625e-10 -3.25138455e-06 0.00000000e+00)	(1.95884000e-08 -2.58990377e-08 0.00000000e+00)
2.70000000e+03	bottomWall	(-3.82912573e+01 -6.52220939e-01 0.00000000e+00)	(-5.80443447e+00 7.77440698e-02 0.00000000e+00)
2.80000000e+03	topWall	(-9.47151868e-10 -3.25140418e-06 0.00000000e+00)	(1.95884060e-08 -2.58990470e-08 0.00000000e+00)
2.80000000e+03	bottomWall	(-3.82912568e+01 -6.52220896e-01 0.00000000e+00)	(-5.80410657e+00 7.77438936e-02 0.00000000e+00)
2.90000000e+03	topWall	(-9.46732971e-10 -3.25141421e-06 0.00000000e+00)	(1.95884079e-08 -2.58990495e-08 0.00000000e+00)
2.90000000e+03	bottomWall	(-3.82912567e+01 -6.52220815e-01 0.00000000e+00)	(-5.80392475e+00 7.77443076e-02 0.00000000e+00)
3.00000000e+03	topWall	(-9.46548598e-10 -3.25144230e-06 0.00000000e+00)	(1.95885179e-08 -2.58992176e-08 0.00000000e+00)
3.00000000e+03	bottomWall	(-3.82912679e+01 -6.52220621e-01 0.00000000e+00)	(-5.80382586e+00 7.77495478e-02 0.00000000e+00)
3.10000000e+03	topWall	(-9.46367672e-10 -3.25145001e-06 0.00000000e+00)	(1.95885001e-08 -2.58991851e-08 0.00000000e+00)
3.10000000e+03	bottomWall	(-3.82912648e+01 -6.52220600e-01 0.00000000e+00)	(-5.80376748e+00 7.77314926e-02 0.00000000e+00)
3.20000000e+03	topWall	(-9.46259716e-10 -3.25144915e-06 0.00000000e+00)	(1.95884927e-08 -2.58991543e-08 0.00000000e+00)
3.20000000e+03	bottomWall	(-3.82912639e+01 -6.52220568e-01 0.00000000e+00)	(-5.80373133e+00 7.77348468e-02 0.00000000e+00)
3.30000000e+03	topWall	(-9.46155454e-10 -3.25144539e-06 0.00000000e+00)	(1.95885363e-08 -2.58992259e-08 0.00000000e+00)
3.30000000e+03	bottomWall	(-3.82912642e+01 -6.52220593e-01 0.00000000e+00)	(-5.80370803e+00 7.77330006e-02 0.00000000e+00)
3.40000000e+03	topWall	(-9.46096237e-10 -3.25144092e-06 0.00000000e+00)	(1.95885581e-08 -2.58992521e-08 0.00000000e+00)
3.40000000e+03	bottomWall	(-3.82912638e+01 -6.52220566e-01 0.00000000e+00)	(-5.80369262e+00 7.77328979e-02 0.00000000e+00)
3.50000000e+03	topWall	(-9.46055768e-10 -3.25143797e-06 0.00000000e+00)	(1.95885716e-08 -2.58992700e-08 0.00000000e+00)
3.50000000e+03	bottomWall	(-3.82912641e+01 -6.52220589e-01 0.00000000e+00)	(-5.80368325e+00 7.77362426e-02 0.00000000e+00)
3.60000000e+03	topWall	(-9.46032215e-10 -3.25143639e-06 0.00000000e+00)	(1.95885805e-08 -2.58992787e-08 0.00000000e+00)
3.60000000e+03	bottomWall	(-3.82912639e+01 -6.52220569e-01 0.00000000e+00)	(-5.80367769e+00 7.77351726e-02 0.00000000e+00)
3.70000000e+03	topWall	(-9.46016776e-10 -3.25143576e-06 0.00000000e+00)	(1.95885906e-08 -2.58992927e-08 0.00000000e+00)
3.70000000e+03	bottomWall	(-3.82912644e+01 -6.52220608e-01 0.00000000e+00)	(-5.80367403e+00 7.77337726e-02 0.00000000e+00)
3.80000000e+03	topWall	(-9.46002273e-10 -3.25143562e-06 0.00000000e+00)	(1.95885909e-08 -2.58992911e-08 0.00000000e+00)
3.80000000e+03	bottomWall	(-3.82912640e+01 -6.52220599e-01 0.00000000e+00)	(-5.80367212e+00 7.77361545e-02 0.00000000e+00)
3.90000000e+03	topWall	(-9.45987491e-10 -3.25143565e-06 0.00000000e+00)	(1.95885975e-08 -2.58993009e-08 0.00000000e+00)
3.90000000e+03	bottomWall	(-3.82912639e+01 -6.52220569e-01 0.00000000e+00)	(-5.80367168e+00 7.77354274e-02 0.00000000e+00)
4.00000000e+03	topWall	(-9.45971592e-10 -3.25143561e-06 0.00000000e+00)	(1.95886016e-08 -2.58993088e-08 0.00000000e+00)
4.00000000e+03	bottomWall	(-3.82912640e+01 -6.52220599e-01 0.00000000e+00)	(-5.80367254e+00 7.77340835e-02 0.00000000e+00)
4.10000000e+03	topWall	(-9.45955171e-10 -3.25143539e-06 0.00000000e+00)	(1.95885959e-08 -2.58992979e-08 0.00000000e+00)
4.10000000e+03	bottomWall	(-3.82912639e+01 -6.52220569e-01 0.00000000e+00)	(-5.80367435e+00 7.77363150e-02 0.00000000e+00)
4.20000000e+03	topWall	(-9.45941123e-10 -3.25143484e-06 0.00000000e+00)	(1.95885953e-08 -2.58992959e-08 0.00000000e+00)
4.20000000e+03	bottomWall	(-3.82912641e+01 -6.52220596e-01 0.00000000e+00)	(-5.80367690e+00 7.77354842e-02 0.00000000e+00)
4.30000000e+03	topWall	(-9.45928951e-10 -3.25143417e-06 0.00000000e+00)	(1.95885974e-08 -2.58993006e-08 0.00000000e+00)
4.30000000e+03	bottomWall	(-3.82912640e+01 -6.52220585e-01 0.00000000e+00)	(-5.80367987e+00 7.77338181e-02 0.00000000e+00)
4.40000000e+03	topWall	(-9.45922324e-10 -3.25143320e-06 0.00000000e+00)	(1.95885953e-08 -2.58992987e-08 0.00000000e+00)
4.40000000e+03	bottomWall	(-3.82912646e+01 -6.52220729e-01 0.00000000e+00)	(-5.80368311e+00 7.77363252e-02 0.00000000e+00)
4.50000000e+03	topWall	(-9.45919039e-10 -3.25143212e-06 0.00000000e+00)	(1.95885938e-08 -2.58992950e-08 0.00000000e+00)
4.50000000e+03	bottomWall	(-3.82912646e+01 -6.52220717e-01 0.00000000e+00)	(-5.80368637e+00 7.77354887e-02 0.00000000e+00)
