# y+ ()        
# Time         	patch          	min            	max            	average        
100            	topWall	4.83459123e-02	4.28117423e-01	3.66701152e-01
100            	bottomWall	4.41358764e+00	1.09923298e+01	4.90934999e+00
200            	topWall	5.46578890e-02	5.22017106e-01	4.43603663e-01
200            	bottomWall	4.34343052e+00	1.09913533e+01	4.94037453e+00
300            	topWall	5.78113546e-02	5.84905876e-01	4.94262375e-01
300            	bottomWall	4.28549989e+00	1.09911889e+01	4.95862135e+00
400            	topWall	5.91890575e-02	6.26988322e-01	5.26833154e-01
400            	bottomWall	4.23849167e+00	1.09911528e+01	4.97043940e+00
500            	topWall	5.97620974e-02	6.55180263e-01	5.47353453e-01
500            	bottomWall	4.20290863e+00	1.09911531e+01	4.97919021e+00
600            	topWall	5.99228555e-02	6.73964076e-01	5.60302152e-01
600            	bottomWall	4.17951197e+00	1.09911630e+01	4.98638693e+00
700            	topWall	5.99092706e-02	6.86190289e-01	5.68393303e-01
700            	bottomWall	4.16642716e+00	1.09911743e+01	4.99256693e+00
800            	topWall	5.98261940e-02	6.93747878e-01	5.73278835e-01
800            	bottomWall	4.16120413e+00	1.09911844e+01	4.99794176e+00
900            	topWall	5.97263415e-02	6.97946141e-01	5.76015578e-01
900            	bottomWall	4.16180005e+00	1.09911923e+01	5.00266215e+00
1000           	topWall	5.96323889e-02	6.99767528e-01	5.77346920e-01
1000           	bottomWall	4.16634326e+00	1.09911986e+01	5.00686466e+00
1100           	topWall	5.95545447e-02	6.99926176e-01	5.77772784e-01
1100           	bottomWall	4.17377657e+00	1.09912033e+01	5.01061882e+00
1200           	topWall	5.94916104e-02	6.98960931e-01	5.77580922e-01
1200           	bottomWall	4.18377574e+00	1.09912067e+01	5.01390714e+00
1300           	topWall	5.94467581e-02	6.97363200e-01	5.77004543e-01
1300           	bottomWall	4.19575901e+00	1.09912093e+01	5.01669960e+00
1400           	topWall	5.94102460e-02	6.96160030e-01	5.76151491e-01
1400           	bottomWall	4.20899773e+00	1.09912111e+01	5.01898260e+00
