# ccx tau_xx tau_yy tau_zz
0.000485708 -38.2913 -0.652221 0
0.00145827 -24.18 -0.543626 0
0.00243313 -14.9088 -0.274725 0
0.00341029 -10.4314 -0.0612253 0
0.00438975 -8.86981 0.0274261 0
0.00537153 -8.42045 0.0317549 0
0.00635563 -8.22289 0.0155176 0
0.00734204 -8.07554 0.0107202 0
0.00833079 -8.08572 0.024563 0
0.00932187 -8.53699 0.0583668 0
0.0103153 -9.74061 0.0777362 0
0.011311 -10.8306 0.0659042 0
0.0123092 -11.7153 0.0487188 0
0.0133096 -12.3695 0.0344111 0
0.0143125 -12.8134 0.0233991 0
0.0153177 -13.0904 0.0144061 0
0.0163252 -13.2226 0.00727743 0
0.0173352 -13.2584 0.00230804 0
0.0183475 -13.2235 -0.00128591 0
0.0193622 -13.1381 -0.00352729 0
0.0203793 -13.0293 -0.00449395 0
0.0213988 -12.9126 -0.00481961 0
0.0224208 -12.7938 -0.00488329 0
0.0234451 -12.6758 -0.0048294 0
0.0244718 -12.5601 -0.00473181 0
0.025501 -12.4473 -0.00459913 0
0.0265326 -12.3381 -0.00443219 0
0.0275667 -12.2331 -0.00426295 0
0.0286031 -12.1318 -0.004097 0
0.0296421 -12.0346 -0.00391687 0
0.0306834 -11.9416 -0.00375487 0
0.0317273 -11.8518 -0.00364041 0
0.0327736 -11.7644 -0.00352625 0
0.0338223 -11.6794 -0.00338894 0
0.0348736 -11.5975 -0.00325133 0
0.0359273 -11.5187 -0.00310943 0
0.0369835 -11.4434 -0.0029677 0
0.0380422 -11.3712 -0.00283603 0
0.0391034 -11.302 -0.00271527 0
0.0401671 -11.2355 -0.00260633 0
0.0412333 -11.1714 -0.00251301 0
0.0423021 -11.1094 -0.00243415 0
0.0433733 -11.0493 -0.00236239 0
0.0444471 -10.9909 -0.00228703 0
0.0455234 -10.9344 -0.00220826 0
0.0466023 -10.8797 -0.00213392 0
0.0476837 -10.8268 -0.00206385 0
0.0487676 -10.7756 -0.00199302 0
0.0498542 -10.726 -0.00192463 0
0.0509432 -10.678 -0.00186768 0
0.0520349 -10.6312 -0.00181978 0
0.0531291 -10.5856 -0.00177402 0
0.0542259 -10.541 -0.00172798 0
0.0553253 -10.4976 -0.0016828 0
0.0564273 -10.4553 -0.0016376 0
0.0575319 -10.4141 -0.00159166 0
0.0586391 -10.3739 -0.00154631 0
0.0597489 -10.3348 -0.00150877 0
0.0608614 -10.2965 -0.00147909 0
0.0619764 -10.2589 -0.00144978 0
0.0630941 -10.2221 -0.00141838 0
0.0642144 -10.1861 -0.00138683 0
0.0653374 -10.1507 -0.00135529 0
0.066463 -10.1162 -0.00132213 0
0.0675913 -10.0824 -0.00128838 0
0.0687222 -10.0494 -0.0012567 0
0.0698559 -10.0172 -0.00122815 0
0.0709921 -9.98556 -0.00120219 0
0.0721311 -9.95454 -0.00117768 0
0.0732728 -9.92409 -0.00115501 0
0.0744171 -9.89417 -0.001133 0
0.0755642 -9.86478 -0.00111016 0
0.0767139 -9.83594 -0.00108635 0
0.0778664 -9.80766 -0.00106274 0
0.0790216 -9.77994 -0.00104043 0
0.0801795 -9.75271 -0.00102016 0
0.0813402 -9.72595 -0.00100093 0
0.0825035 -9.69964 -0.000982703 0
0.0836697 -9.67375 -0.000965926 0
0.0848386 -9.64824 -0.000949524 0
0.0860102 -9.62314 -0.00093223 0
0.0871846 -9.59845 -0.000914084 0
0.0883618 -9.57418 -0.000896592 0
0.0895418 -9.55032 -0.000880206 0
0.0907245 -9.52683 -0.000865198 0
0.0919101 -9.50369 -0.000850642 0
0.0930984 -9.48088 -0.000836672 0
0.0942895 -9.4584 -0.000823599 0
0.0954835 -9.43622 -0.000810786 0
0.0966803 -9.41435 -0.000797427 0
0.0978799 -9.3928 -0.000783245 0
0.0990823 -9.37159 -0.000769697 0
0.100288 -9.35068 -0.000757326 0
0.101496 -9.33005 -0.0007459 0
0.102707 -9.30969 -0.000734549 0
0.10392 -9.2896 -0.000723478 0
0.105137 -9.26976 -0.000713083 0
0.106357 -9.25017 -0.000702926 0
0.107579 -9.23081 -0.000692231 0
0.108804 -9.21172 -0.000680907 0
0.110033 -9.19289 -0.000670248 0
0.111264 -9.1743 -0.000660551 0
0.112498 -9.15593 -0.000651667 0
0.113735 -9.13777 -0.000642638 0
0.114975 -9.11983 -0.000633448 0
0.116217 -9.1021 -0.000624922 0
0.117463 -9.08457 -0.000616579 0
0.118712 -9.06723 -0.000608045 0
0.119963 -9.0501 -0.000599084 0
0.121218 -9.03318 -0.000590371 0
0.122475 -9.01647 -0.000582528 0
0.123736 -8.99993 -0.000575255 0
0.124999 -8.98355 -0.000568076 0
0.126266 -8.96736 -0.000560619 0
0.127535 -8.95133 -0.000553381 0
0.128807 -8.93548 -0.000546325 0
0.130083 -8.91979 -0.000539309 0
0.131361 -8.90427 -0.00053219 0
0.132643 -8.88892 -0.000525059 0
0.133927 -8.87373 -0.000518524 0
0.135215 -8.8587 -0.00051244 0
0.136505 -8.8438 -0.000506619 0
0.137799 -8.82904 -0.000500576 0
0.139096 -8.81443 -0.00049426 0
0.140395 -8.79997 -0.000488183 0
0.141698 -8.78565 -0.000482291 0
0.143004 -8.77147 -0.000476665 0
0.144313 -8.75742 -0.000470941 0
0.145625 -8.74351 -0.000465212 0
0.14694 -8.72973 -0.000460017 0
0.148258 -8.71607 -0.000455021 0
0.149579 -8.70253 -0.000450174 0
0.150904 -8.6891 -0.000444937 0
0.152231 -8.67581 -0.000439461 0
0.153562 -8.66264 -0.000434453 0
0.154896 -8.64958 -0.000429659 0
0.156233 -8.63664 -0.000425099 0
0.157573 -8.62381 -0.00042044 0
0.158916 -8.61109 -0.000415736 0
0.160263 -8.59848 -0.000411504 0
0.161613 -8.58597 -0.000407326 0
0.162965 -8.57356 -0.000403109 0
0.164321 -8.56125 -0.000398678 0
0.165681 -8.54905 -0.000394142 0
0.167043 -8.53695 -0.000390001 0
0.168409 -8.52495 -0.000386047 0
0.169778 -8.51304 -0.000382272 0
0.17115 -8.50123 -0.000378383 0
0.172525 -8.48951 -0.000374365 0
0.173904 -8.47788 -0.000370543 0
0.175286 -8.46634 -0.000366792 0
0.176671 -8.45489 -0.000363165 0
0.178059 -8.44353 -0.000359448 0
0.179451 -8.43227 -0.000355673 0
0.180846 -8.42108 -0.000352191 0
0.182244 -8.40999 -0.000348866 0
0.183646 -8.39896 -0.000345655 0
0.18505 -8.38802 -0.000342299 0
0.186459 -8.37716 -0.000338769 0
0.18787 -8.36638 -0.000335423 0
0.189285 -8.35569 -0.000332223 0
0.190703 -8.34506 -0.000329118 0
0.192124 -8.33452 -0.000326044 0
0.193549 -8.32404 -0.000322906 0
0.194978 -8.31365 -0.000319876 0
0.196409 -8.30332 -0.000316986 0
0.197844 -8.29306 -0.000314096 0
0.199282 -8.28288 -0.000311229 0
0.200724 -8.27276 -0.000308259 0
