# ccx y+
0.000485708 10.9912
0.00145827 8.735
0.00243313 6.85924
0.00341029 5.73736
0.00438975 5.29016
0.00537153 5.1542
0.00635563 5.09336
0.00734204 5.0476
0.00833079 5.05087
0.00932187 5.18993
0.0103153 5.54364
0.011311 5.8455
0.0123092 6.07955
0.0133096 6.24701
0.0143125 6.35811
0.0153177 6.42647
0.0163252 6.45885
0.0173352 6.46758
0.0183475 6.45909
0.0193622 6.43819
0.0203793 6.41149
0.0213988 6.3827
0.0224208 6.35328
0.0234451 6.32392
0.0244718 6.29498
0.025501 6.26665
0.0265326 6.23912
0.0275667 6.2125
0.0286031 6.18673
0.0296421 6.1619
0.0306834 6.13805
0.0317273 6.11491
0.0327736 6.09233
0.0338223 6.07028
0.0348736 6.04895
0.0359273 6.02838
0.0369835 6.00863
0.0380422 5.98964
0.0391034 5.97139
0.0401671 5.95381
0.0412333 5.9368
0.0423021 5.9203
0.0433733 5.90425
0.0444471 5.88863
0.0455234 5.87348
0.0466023 5.85878
0.0476837 5.84452
0.0487676 5.83067
0.0498542 5.81725
0.0509432 5.80421
0.0520349 5.79148
0.0531291 5.77903
0.0542259 5.76687
0.0553253 5.75498
0.0564273 5.74337
0.0575319 5.73203
0.0586391 5.72097
0.0597489 5.71018
0.0608614 5.69959
0.0619764 5.68918
0.0630941 5.67896
0.0642144 5.66893
0.0653374 5.6591
0.066463 5.64946
0.0675913 5.64002
0.0687222 5.63079
0.0698559 5.62174
0.0709921 5.61286
0.0721311 5.60414
0.0732728 5.59556
0.0744171 5.58712
0.0755642 5.57881
0.0767139 5.57065
0.0778664 5.56264
0.0790216 5.55477
0.0801795 5.54704
0.0813402 5.53942
0.0825035 5.53192
0.0836697 5.52453
0.0848386 5.51725
0.0860102 5.51006
0.0871846 5.50299
0.0883618 5.49603
0.0895418 5.48918
0.0907245 5.48242
0.0919101 5.47576
0.0930984 5.46919
0.0942895 5.4627
0.0954835 5.45629
0.0966803 5.44996
0.0978799 5.44372
0.0990823 5.43757
0.100288 5.4315
0.101496 5.42551
0.102707 5.41958
0.10392 5.41373
0.105137 5.40795
0.106357 5.40223
0.107579 5.39657
0.108804 5.39099
0.110033 5.38548
0.111264 5.38003
0.112498 5.37464
0.113735 5.36931
0.114975 5.36404
0.116217 5.35882
0.117463 5.35365
0.118712 5.34854
0.119963 5.34349
0.121218 5.33849
0.122475 5.33355
0.123736 5.32866
0.124999 5.32381
0.126266 5.31901
0.127535 5.31425
0.128807 5.30954
0.130083 5.30488
0.131361 5.30026
0.132643 5.29569
0.133927 5.29117
0.135215 5.28668
0.136505 5.28224
0.137799 5.27783
0.139096 5.27346
0.140395 5.26913
0.141698 5.26484
0.143004 5.26059
0.144313 5.25637
0.145625 5.2522
0.14694 5.24806
0.148258 5.24395
0.149579 5.23988
0.150904 5.23583
0.152231 5.23182
0.153562 5.22785
0.154896 5.22391
0.156233 5.22
0.157573 5.21612
0.158916 5.21228
0.160263 5.20846
0.161613 5.20467
0.162965 5.2009
0.164321 5.19717
0.165681 5.19346
0.167043 5.18979
0.168409 5.18614
0.169778 5.18252
0.17115 5.17892
0.172525 5.17535
0.173904 5.1718
0.175286 5.16828
0.176671 5.16479
0.178059 5.16132
0.179451 5.15787
0.180846 5.15445
0.182244 5.15105
0.183646 5.14767
0.18505 5.14432
0.186459 5.14099
0.18787 5.13768
0.189285 5.13439
0.190703 5.13113
0.192124 5.12789
0.193549 5.12466
0.194978 5.12146
0.196409 5.11828
0.197844 5.11512
0.199282 5.11198
0.200724 5.10885
0.202169 5.10575
0.203618 5.10267
0.20507 5.0996
0.206525 5.09656
0.207903 5.0937
0.209207 5.09101
0.210526 5.08831
0.211859 5.0856
0.213207 5.08289
0.214569 5.08017
0.215947 5.07743
0.217339 5.07469
0.218746 5.07194
0.220168 5.06918
0.221606 5.06642
0.22306 5.06364
0.224529 5.06085
0.226015 5.05806
0.227516 5.05526
0.229034 5.05245
0.230569 5.04963
0.23212 5.04681
0.233687 5.04397
0.235272 5.04113
0.236875 5.03828
0.238494 5.03543
0.240131 5.03256
0.241786 5.02969
0.243459 5.02681
0.24515 5.02392
0.24686 5.02102
0.248588 5.01812
0.250335 5.01521
0.252101 5.01229
0.253886 5.00936
0.25569 5.00643
0.257514 5.00349
0.259358 5.00054
0.261222 4.99759
0.263106 4.99463
0.265011 4.99166
0.266937 4.98868
0.268883 4.9857
0.27085 4.98271
0.272839 4.97972
0.27485 4.97671
0.276882 4.97371
0.278936 4.97069
0.281013 4.96765
0.283113 4.96461
0.285235 4.96156
0.28738 4.9585
0.289548 4.95544
0.291741 4.95237
0.293956 4.9493
0.296196 4.94622
0.298461 4.94313
0.30075 4.94004
0.303064 4.93694
0.305403 4.93384
0.307767 4.93073
0.310157 4.92762
0.312573 4.9245
0.315016 4.92137
0.317485 4.91824
0.31998 4.91511
0.322503 4.91197
0.325053 4.90882
0.327632 4.90567
0.330238 4.90252
0.332872 4.89936
0.335535 4.8962
0.338227 4.89303
0.340948 4.88985
0.343699 4.88668
0.346479 4.88349
0.34929 4.88031
0.352132 4.87712
0.355004 4.87392
0.357908 4.87072
0.360843 4.86752
0.36381 4.86431
0.366809 4.8611
0.369841 4.85788
0.372906 4.85466
0.376004 4.85144
